time,precipitation_mm,source,source_file
2018-01-01,238.79736,CHIRPS_v3,chirps-v3.0.2018.monthly.nc
2018-02-01,164.54486,CHIRPS_v3,chirps-v3.0.2018.monthly.nc
2018-03-01,33.98272,CHIRPS_v3,chirps-v3.0.2018.monthly.nc
2018-04-01,46.81448,CHIRPS_v3,chirps-v3.0.2018.monthly.nc
2018-05-01,22.412483,CHIRPS_v3,chirps-v3.0.2018.monthly.nc
2018-06-01,0.06310769,CHIRPS_v3,chirps-v3.0.2018.monthly.nc
2018-07-01,0.09341736,CHIRPS_v3,chirps-v3.0.2018.monthly.nc
2018-08-01,0.094270244,CHIRPS_v3,chirps-v3.0.2018.monthly.nc
2018-09-01,2.8055637,CHIRPS_v3,chirps-v3.0.2018.monthly.nc
2018-10-01,28.72357,CHIRPS_v3,chirps-v3.0.2018.monthly.nc
2018-11-01,76.72295,CHIRPS_v3,chirps-v3.0.2018.monthly.nc
2018-12-01,129.56943,CHIRPS_v3,chirps-v3.0.2018.monthly.nc
2019-01-01,145.52927,CHIRPS_v3,chirps-v3.0.2019.monthly.nc
2019-02-01,131.72145,CHIRPS_v3,chirps-v3.0.2019.monthly.nc
2019-03-01,120.902405,CHIRPS_v3,chirps-v3.0.2019.monthly.nc
2019-04-01,30.37811,CHIRPS_v3,chirps-v3.0.2019.monthly.nc
2019-05-01,9.840285,CHIRPS_v3,chirps-v3.0.2019.monthly.nc
2019-06-01,0.91968644,CHIRPS_v3,chirps-v3.0.2019.monthly.nc
2019-07-01,0.09331366,CHIRPS_v3,chirps-v3.0.2019.monthly.nc
2019-08-01,0.094176315,CHIRPS_v3,chirps-v3.0.2019.monthly.nc
2019-09-01,0.6551692,CHIRPS_v3,chirps-v3.0.2019.monthly.nc
2019-10-01,12.751138,CHIRPS_v3,chirps-v3.0.2019.monthly.nc
2019-11-01,27.80585,CHIRPS_v3,chirps-v3.0.2019.monthly.nc
2019-12-01,196.79759,CHIRPS_v3,chirps-v3.0.2019.monthly.nc
2020-01-01,243.27695,CHIRPS_v3,chirps-v3.0.2020.monthly.nc
