2026	10.1002/ird.70142	Soil Moisture Retrieval in Irrigated Winter Wheat Fields Using Sentinel Data and Machine Learning Algorithms
2025	10.5194/egusphere-egu24-6626	Irrigation Management using Machine Learning Regressors of Aggregated Soil Moisture Data
NA	10.7717/peerj.20440/fig-2	Figure 2: Soil moisture content of rainfed treatment (drought treatment) and irrigation treatment.
2023	10.1109/igarss52108.2023.10283282	Toward Field Level Drought and Irrigation Monitoring Using Machine Learning Based High-Resolution Soil Moisture (ML-HRSM) Data
2023	10.1007/s10661-023-11871-w	Assessing how irrigation practices and soil moisture affect crop growth through monitoring Sentinel-1 and Sentinel-2 data
2026	10.3390/rs18121914	Machine Learning-Based Soil Moisture Retrieval from Sentinel-1A Observations over the International Soil Moisture Networks
NA	10.1109/tgrs.2026.3677267/mm1	A hybrid Physics-Guided Machine Learning for Soil Moisture Monitoring and Drought Assessment from CYGNSS in Complex Terrain_supp1-3677267.docx
2026	10.1002/9781394288557.ch02	Background on Soil Moisture Modeling
2023	10.3390/iecag2023-15972	Sentinel Data and Machine Learning Algorithms for Soil Moisture Land Classification
2024	10.5194/egusphere-egu24-13883	Evaluating the Interplay Between Soil Moisture and Meteorological Drought Indicators: Implications for Drought Monitoring and Crop Productivity in India
2026	10.1002/9781394288557.ch05	Adaptive Soil Moisture Estimation Using Performance‐triggered Model Reduction
2026	10.5194/egusphere-egu26-10703	Developing a machine-learning Surrogate Model to rapidly predict wheat yields under Soil-Moisture-Triggered irrigation strategies in Northwest India
2015	10.1201/b18077-39	A simple method to estimate irrigation date for soil moisture modeling and agricultural drought monitoring in irrigated regions
2026	10.1002/9781394288557.ch04	Soil Moisture and Hydraulic Parameter Estimation in Agro‐hydrological Systems
2023	10.1002/9781394173358.ch11	Crop Yield and Soil Moisture Prediction Using Machine Learning Algorithms
2022	10.1007/s00271-022-00802-1	Use of a crop model and soil moisture sensors for estimating soil moisture and irrigation applications in a production soybean field
2026	10.2139/ssrn.6383088	Integrating Sentinel-1 SAR and Sentinel-2 data to estimate soil moisture for irrigation scheduling in maize fields, Bronkhorstspruit, South Africa
2024	10.1002/ird.3037	Model ensemble techniques of machine learning algorithms for soil moisture constants in the semi‐arid climate conditions
