threshold,accuracy,precision,recall,f1,predicted_stress
0.1,0.36363636363636365,0.2222222222222222,1.0,0.36363636363636365,9
0.15,0.45454545454545453,0.25,1.0,0.4,8
0.2,0.5454545454545454,0.2857142857142857,1.0,0.4444444444444444,7
0.25,0.5454545454545454,0.2857142857142857,1.0,0.4444444444444444,7
0.3,0.5454545454545454,0.2857142857142857,1.0,0.4444444444444444,7
0.35,0.5454545454545454,0.2,0.5,0.2857142857142857,5
0.4,0.45454545454545453,0.0,0.0,0.0,4
0.45,0.6363636363636364,0.0,0.0,0.0,2
0.5,0.6363636363636364,0.0,0.0,0.0,2
0.6,0.7272727272727273,0.0,0.0,0.0,1
0.7,0.8181818181818182,0.0,0.0,0.0,0
